booking_id,inquiry_id,booked_at,scheduled_at,status
B0272,I0575,2026-09-10T12:58:03.125631+00:00,2026-09-21T12:58:03.125631+00:00,scheduled
B0273,I0577,2026-07-08T22:58:23.923806+00:00,2026-07-17T22:58:23.923806+00:00,completed
B0274,I0579,2026-09-15T11:12:44.662485+00:00,2026-09-17T11:12:44.662485+00:00,completed
B0275,I0580,2026-08-13T05:02:55.454688+00:00,2026-08-17T05:02:55.454688+00:00,completed
B0276,I0581,2026-07-29T23:41:08.918637+00:00,2026-08-05T23:41:08.918637+00:00,completed
B0277,I0583,2026-07-11T21:39:24.635584+00:00,2026-07-20T21:39:24.635584+00:00,completed
B0278,I0588,2026-08-11T20:45:08.955826+00:00,2026-08-16T20:45:08.955826+00:00,completed
B0279,I0590,2026-09-10T21:44:46.186031+00:00,2026-09-13T21:44:46.186031+00:00,completed
B0280,I0591,2026-08-01T18:01:47.850405+00:00,2026-08-10T18:01:47.850405+00:00,cancelled
B0281,I0593,2026-08-29T11:15:51.968986+00:00,2026-09-07T11:15:51.968986+00:00,completed
B0282,I0594,2026-08-29T00:44:12.330016+00:00,2026-09-02T00:44:12.330016+00:00,completed
B0283,I0595,2026-09-13T15:51:15.717499+00:00,2026-09-21T15:51:15.717499+00:00,scheduled
B0284,I0596,2026-07-07T02:56:59.151418+00:00,2026-07-09T02:56:59.151418+00:00,completed
B0285,I0597,2026-09-11T20:33:14.166964+00:00,2026-09-18T20:33:14.166964+00:00,completed
B0286,I0608,2026-09-08T06:50:32.399765+00:00,2026-09-12T06:50:32.399765+00:00,cancelled
B0287,I0610,2026-09-14T07:05:47.379281+00:00,2026-09-16T07:05:47.379281+00:00,completed
B0288,I0611,2026-08-18T01:08:48.417610+00:00,2026-08-27T01:08:48.417610+00:00,completed
B0289,I0613,2026-08-07T12:17:24.702533+00:00,2026-08-14T12:17:24.702533+00:00,completed
B0290,I0614,2026-08-19T07:45:40.615474+00:00,2026-08-25T07:45:40.615474+00:00,completed
B0291,I0617,2026-08-31T14:52:35.306860+00:00,2026-09-03T14:52:35.306860+00:00,completed
B0292,I0619,2026-07-03T07:06:12.155308+00:00,2026-07-06T07:06:12.155308+00:00,completed
B0293,I0620,2026-07-02T09:22:04.960299+00:00,2026-07-11T09:22:04.960299+00:00,completed
B0294,I0622,2026-07-08T01:22:37.467526+00:00,2026-07-10T01:22:37.467526+00:00,cancelled
B0295,I0624,2026-07-25T03:46:17.976428+00:00,2026-08-03T03:46:17.976428+00:00,completed
B0296,I0626,2026-09-12T01:51:41.877946+00:00,2026-09-18T01:51:41.877946+00:00,no_show
B0297,I0627,2026-08-10T12:19:19.625003+00:00,2026-08-14T12:19:19.625003+00:00,completed
B0298,I0632,2026-07-18T23:01:41.634043+00:00,2026-07-24T23:01:41.634043+00:00,completed
B0299,I0633,2026-07-12T10:37:48.899216+00:00,2026-07-13T10:37:48.899216+00:00,cancelled
B0300,I0634,2026-08-02T10:37:24.842214+00:00,2026-08-05T10:37:24.842214+00:00,no_show
B0301,I0638,2026-06-30T14:05:29.131862+00:00,2026-07-09T14:05:29.131862+00:00,completed
B0302,I0639,2026-08-12T06:13:46.126044+00:00,2026-08-18T06:13:46.126044+00:00,completed
B0303,I0640,2026-07-24T19:22:09.030876+00:00,2026-07-29T19:22:09.030876+00:00,cancelled
B0304,I0643,2026-08-26T19:54:06.100586+00:00,2026-08-27T19:54:06.100586+00:00,completed
B0305,I0645,2026-07-30T11:29:35.786585+00:00,2026-08-01T11:29:35.786585+00:00,completed
B0306,I0647,2026-07-25T21:28:58.368549+00:00,2026-07-30T21:28:58.368549+00:00,completed
B0307,I0651,2026-08-01T11:44:43.060028+00:00,2026-08-05T11:44:43.060028+00:00,completed
B0308,I0652,2026-09-05T17:46:33.443154+00:00,2026-09-13T17:46:33.443154+00:00,completed
B0309,I0653,2026-09-08T07:18:05.498794+00:00,2026-09-15T07:18:05.498794+00:00,completed
B0310,I0654,2026-09-04T10:03:57.987817+00:00,2026-09-10T10:03:57.987817+00:00,cancelled
B0311,I0655,2026-07-30T18:08:56.556695+00:00,2026-08-08T18:08:56.556695+00:00,completed
B0312,I0656,2026-08-10T11:02:05.546441+00:00,2026-08-16T11:02:05.546441+00:00,completed
B0313,I0657,2026-09-10T21:46:55.940538+00:00,2026-09-13T21:46:55.940538+00:00,completed
B0314,I0658,2026-08-18T19:10:35.149914+00:00,2026-08-23T19:10:35.149914+00:00,completed
B0315,I0659,2026-06-30T13:26:22.269198+00:00,2026-07-07T13:26:22.269198+00:00,cancelled
B0316,I0663,2026-08-25T09:10:31.890721+00:00,2026-09-03T09:10:31.890721+00:00,completed
B0317,I0667,2026-07-06T21:27:54.304473+00:00,2026-07-10T21:27:54.304473+00:00,cancelled
B0318,I0667,2026-07-06T21:27:54.304473+00:00,2026-07-21T21:27:54.304473+00:00,cancelled
B0319,I0669,2026-09-05T22:32:56.380664+00:00,2026-09-13T22:32:56.380664+00:00,completed
B0320,I0672,2026-07-20T05:17:12.851262+00:00,2026-07-22T05:17:12.851262+00:00,completed
B0321,I0673,2026-07-01T13:33:12.638366+00:00,2026-07-03T13:33:12.638366+00:00,completed
B0322,I0674,2026-07-07T18:36:41.878394+00:00,2026-07-10T18:36:41.878394+00:00,completed
B0323,I0678,2026-09-02T19:47:41.879309+00:00,2026-09-08T19:47:41.879309+00:00,completed
B0324,I0682,2026-07-29T06:42:20.164141+00:00,2026-08-07T06:42:20.164141+00:00,completed
B0325,I0683,2026-07-29T09:52:42.708530+00:00,2026-08-01T09:52:42.708530+00:00,completed
B0326,I0685,2026-08-29T17:28:34.421347+00:00,2026-08-31T17:28:34.421347+00:00,completed
B0327,I0686,2026-07-18T22:39:54.273717+00:00,2026-07-25T22:39:54.273717+00:00,cancelled
B0328,I0688,2026-07-07T18:54:36.491415+00:00,2026-07-16T18:54:36.491415+00:00,completed
B0329,I0689,2026-08-16T13:53:34.484438+00:00,2026-08-18T13:53:34.484438+00:00,completed
B0330,I0690,2026-08-01T01:10:46.125703+00:00,2026-08-08T01:10:46.125703+00:00,completed
B0331,I0690,2026-08-01T01:10:46.125703+00:00,2026-08-14T01:10:46.125703+00:00,completed
B0332,I0692,2026-08-06T10:14:56.003726+00:00,2026-08-13T10:14:56.003726+00:00,completed
B0333,I0694,2026-07-26T03:11:04.719337+00:00,2026-07-30T03:11:04.719337+00:00,cancelled
B0334,I0695,2026-07-01T21:26:26.917332+00:00,2026-07-04T21:26:26.917332+00:00,completed
B0335,I0696,2026-08-01T20:10:15.024826+00:00,2026-08-03T20:10:15.024826+00:00,completed
B0336,I0698,2026-07-16T14:51:13.851591+00:00,2026-07-17T14:51:13.851591+00:00,completed
B0337,I0702,2026-07-03T02:03:35.792540+00:00,2026-07-10T02:03:35.792540+00:00,no_show
B0338,I0706,2026-08-13T11:25:10.338006+00:00,2026-08-22T11:25:10.338006+00:00,completed
B0339,I0707,2026-07-23T22:35:13.265920+00:00,2026-07-29T22:35:13.265920+00:00,completed
B0340,I0708,2026-08-01T12:48:43.706718+00:00,2026-08-09T12:48:43.706718+00:00,completed
B0341,I0711,2026-09-16T13:47:53.029300+00:00,2026-09-17T13:47:53.029300+00:00,completed
B0342,I0714,2026-08-21T22:52:13.882129+00:00,2026-08-26T22:52:13.882129+00:00,completed
B0343,I0716,2026-09-17T13:48:29.599232+00:00,2026-09-19T13:48:29.599232+00:00,cancelled
B0344,I0719,2026-08-12T22:55:28.120280+00:00,2026-08-21T22:55:28.120280+00:00,completed
B0345,I0720,2026-08-27T01:54:33.275305+00:00,2026-09-01T01:54:33.275305+00:00,completed
